6	1509622941	12	[Removed 0 sampled files]
6	1509622946	12	[Removed 0 sampled files]
6	1509622951	12	[Removed 0 sampled files]
6	1509622956	12	[Removed 0 sampled files]
6	1509622961	12	[Removed 0 sampled files]
6	1509622966	12	[Removed 0 sampled files]
6	1509622971	12	[Removed 0 sampled files]
6	1509622976	12	[Removed 0 sampled files]
6	1509622981	12	[Removed 0 sampled files]
6	1509622986	12	[Removed 0 sampled files]
6	1509622991	12	[Removed 0 sampled files]
6	1509622996	12	[Removed 0 sampled files]
6	1509623001	12	[Removed 0 sampled files]
6	1509623006	12	[Removed 0 sampled files]
6	1509623011	12	[Removed 0 sampled files]
6	1509623016	12	[Removed 0 sampled files]
6	1509623021	12	[Removed 0 sampled files]
6	1509623026	12	[Removed 0 sampled files]
6	1509623031	12	[Removed 0 sampled files]
6	1509623036	12	[Removed 0 sampled files]
6	1509623041	12	[Removed 0 sampled files]
6	1509623046	12	[Removed 0 sampled files]
6	1509623051	12	[Removed 0 sampled files]
6	1509623056	12	[Removed 0 sampled files]
6	1509623061	12	[Removed 0 sampled files]
6	1509623066	12	[Removed 0 sampled files]
6	1509623071	12	[Removed 0 sampled files]
6	1509623076	12	[Removed 0 sampled files]
6	1509623081	12	[Removed 0 sampled files]
6	1509623086	12	[Removed 0 sampled files]
6	1509623091	12	[Removed 0 sampled files]
6	1509623096	12	[Removed 0 sampled files]
6	1509623101	12	[Removed 0 sampled files]
6	1509623106	12	[Removed 0 sampled files]
6	1509623111	12	[Removed 0 sampled files]
6	1509623116	12	[Removed 0 sampled files]
6	1509623121	12	[Removed 0 sampled files]
6	1509623126	12	[Removed 0 sampled files]
6	1509623131	13	[Closing output results file]
6	1509623131	5	[Closing MMT Extraction engine!]
6	1509623131	2	[Closing MMT Probe!]
4	1509623131	18	[Interruption Termination signal received! Cleaning up before exiting!]
6	1509623131	1	[MMT Probe started!]
6	1509623131	3	[Initializating MMT Extraction engine! Single threaded operation.]
6	1509623131	4	[MMT Extraction engine! successfully initialized in a single threaded operation.]
6	1509623136	12	[Removed 0 sampled files]
6	1509623141	12	[Removed 0 sampled files]
6	1509623146	12	[Removed 0 sampled files]
6	1509623151	12	[Removed 0 sampled files]
6	1509623156	12	[Removed 0 sampled files]
6	1509623161	12	[Removed 0 sampled files]
6	1509623166	12	[Removed 0 sampled files]
6	1509623171	12	[Removed 0 sampled files]
6	1509623176	12	[Removed 0 sampled files]
6	1509623181	12	[Removed 0 sampled files]
6	1509623186	12	[Removed 0 sampled files]
6	1509623191	12	[Removed 0 sampled files]
6	1509623196	12	[Removed 0 sampled files]
6	1509623201	12	[Removed 0 sampled files]
6	1509623206	12	[Removed 0 sampled files]
6	1509623211	12	[Removed 0 sampled files]
6	1509623216	12	[Removed 0 sampled files]
6	1509623221	12	[Removed 0 sampled files]
